Customer ID,Monetary,Frequency,Recency,Cluster,Segment
62,68,1,29,3,Clientes VIP
63,21,1,19,1,Clientes Leales
64,79,1,7,0,Clientes Ocasionales
65,83,1,32,3,Clientes VIP
66,36,1,6,2,Clientes en Riesgo
67,94,1,47,3,Clientes VIP
68,33,1,1,2,Clientes en Riesgo
69,46,1,29,1,Clientes Leales
70,70,1,45,3,Clientes VIP
71,29,1,18,1,Clientes Leales
72,48,1,16,0,Clientes Ocasionales
73,26,1,29,1,Clientes Leales
74,85,1,7,0,Clientes Ocasionales
75,58,1,47,3,Clientes VIP
76,85,1,29,3,Clientes VIP
77,43,1,18,1,Clientes Leales
78,53,1,14,0,Clientes Ocasionales
79,91,1,0,2,Clientes en Riesgo
80,96,1,7,0,Clientes Ocasionales
81,72,1,26,3,Clientes VIP
82,96,1,14,0,Clientes Ocasionales
83,28,1,29,1,Clientes Leales
84,40,1,16,1,Clientes Leales
85,32,1,8,1,Clientes Leales
86,95,1,48,3,Clientes VIP
87,41,1,3,2,Clientes en Riesgo
88,53,1,6,0,Clientes Ocasionales
89,47,1,15,1,Clientes Leales
90,83,1,35,3,Clientes VIP
91,48,1,21,1,Clientes Leales
92,99,1,32,3,Clientes VIP
93,87,1,37,3,Clientes VIP
94,62,1,4,2,Clientes en Riesgo
95,76,1,22,3,Clientes VIP
96,100,1,2,2,Clientes en Riesgo
97,73,1,7,0,Clientes Ocasionales
98,92,1,13,0,Clientes Ocasionales
99,67,1,30,3,Clientes VIP
100,40,1,17,1,Clientes Leales
101,98,1,19,0,Clientes Ocasionales
102,85,1,0,2,Clientes en Riesgo
103,67,1,15,0,Clientes Ocasionales
104,89,1,28,3,Clientes VIP
105,24,1,49,1,Clientes Leales
106,96,1,46,3,Clientes VIP
107,35,1,19,1,Clientes Leales
108,67,1,4,2,Clientes en Riesgo
109,79,1,18,0,Clientes Ocasionales
110,85,1,7,0,Clientes Ocasionales
111,26,1,24,1,Clientes Leales
112,75,1,41,3,Clientes VIP
113,65,1,22,3,Clientes VIP
114,54,1,30,3,Clientes VIP
115,95,1,41,3,Clientes VIP
116,94,1,2,2,Clientes en Riesgo
117,86,1,38,3,Clientes VIP
118,32,1,21,1,Clientes Leales
119,45,1,23,1,Clientes Leales
120,76,1,6,0,Clientes Ocasionales
121,84,1,18,0,Clientes Ocasionales
122,72,1,39,3,Clientes VIP
123,40,1,6,2,Clientes en Riesgo
124,89,1,4,0,Clientes Ocasionales
125,86,1,0,2,Clientes en Riesgo
126,54,1,5,2,Clientes en Riesgo
127,36,1,2,2,Clientes en Riesgo
128,89,1,24,3,Clientes VIP
129,32,1,29,1,Clientes Leales
130,67,1,1,2,Clientes en Riesgo
131,39,1,37,1,Clientes Leales
132,29,1,4,2,Clientes en Riesgo
133,58,1,8,0,Clientes Ocasionales
134,65,1,25,3,Clientes VIP
135,94,1,25,3,Clientes VIP
136,81,1,38,3,Clientes VIP
137,86,1,46,3,Clientes VIP
138,43,1,12,1,Clientes Leales
139,29,1,8,1,Clientes Leales
140,95,1,20,0,Clientes Ocasionales
141,28,1,0,2,Clientes en Riesgo
142,46,1,5,2,Clientes en Riesgo
143,58,1,17,0,Clientes Ocasionales
144,48,1,25,1,Clientes Leales
145,43,1,25,1,Clientes Leales
146,95,1,6,0,Clientes Ocasionales
147,30,1,29,1,Clientes Leales
148,64,1,19,0,Clientes Ocasionales
149,90,1,3,2,Clientes en Riesgo
150,76,1,36,3,Clientes VIP
151,96,1,33,3,Clientes VIP
152,47,1,47,3,Clientes VIP
153,85,1,8,0,Clientes Ocasionales
154,55,1,28,3,Clientes VIP
155,98,1,29,3,Clientes VIP
156,77,1,29,3,Clientes VIP
157,26,1,10,1,Clientes Leales
158,68,1,49,3,Clientes VIP
159,73,1,0,2,Clientes en Riesgo
160,27,1,11,1,Clientes Leales
161,23,1,16,1,Clientes Leales
162,49,1,21,1,Clientes Leales
163,74,1,19,0,Clientes Ocasionales
164,67,1,42,3,Clientes VIP
165,65,1,45,3,Clientes VIP
166,60,1,43,3,Clientes VIP
167,31,1,20,1,Clientes Leales
168,27,1,36,1,Clientes Leales
169,80,1,45,3,Clientes VIP
170,30,1,47,1,Clientes Leales
171,25,1,4,2,Clientes en Riesgo
172,35,1,46,1,Clientes Leales
173,67,1,8,0,Clientes Ocasionales
174,46,1,20,1,Clientes Leales
175,35,1,13,1,Clientes Leales
176,86,1,48,3,Clientes VIP
177,81,1,20,0,Clientes Ocasionales
178,42,1,3,2,Clientes en Riesgo
179,43,1,29,1,Clientes Leales
180,31,1,41,1,Clientes Leales
181,81,1,38,3,Clientes VIP
182,61,1,46,3,Clientes VIP
183,96,1,40,3,Clientes VIP
184,29,1,24,1,Clientes Leales
185,33,1,10,1,Clientes Leales
186,32,1,16,1,Clientes Leales
187,56,1,19,0,Clientes Ocasionales
188,94,1,49,3,Clientes VIP
189,53,1,45,3,Clientes VIP
190,82,1,46,3,Clientes VIP
191,70,1,2,2,Clientes en Riesgo
192,76,1,21,3,Clientes VIP
193,29,1,38,1,Clientes Leales
194,100,1,21,3,Clientes VIP
195,94,1,35,3,Clientes VIP
196,25,1,16,1,Clientes Leales
197,88,1,9,0,Clientes Ocasionales
198,78,1,9,0,Clientes Ocasionales
199,45,1,11,0,Clientes Ocasionales
200,73,1,18,0,Clientes Ocasionales
201,61,1,21,3,Clientes VIP
202,22,1,35,1,Clientes Leales
203,38,1,17,1,Clientes Leales
204,38,1,32,1,Clientes Leales
205,100,1,15,0,Clientes Ocasionales
206,64,1,25,3,Clientes VIP
207,55,1,44,3,Clientes VIP
208,91,1,33,3,Clientes VIP
209,38,1,33,1,Clientes Leales
210,97,1,6,0,Clientes Ocasionales
211,22,1,44,1,Clientes Leales
212,92,1,5,0,Clientes Ocasionales
213,84,1,43,3,Clientes VIP
214,93,1,39,3,Clientes VIP
215,50,1,9,0,Clientes Ocasionales
216,64,1,26,3,Clientes VIP
217,61,1,29,3,Clientes VIP
218,48,1,26,1,Clientes Leales
219,45,1,42,1,Clientes Leales
220,88,1,38,3,Clientes VIP
221,57,1,2,2,Clientes en Riesgo
222,68,1,44,3,Clientes VIP
223,94,1,36,3,Clientes VIP
224,41,1,16,1,Clientes Leales
225,83,1,38,3,Clientes VIP
226,22,1,39,1,Clientes Leales
227,74,1,45,3,Clientes VIP
228,90,1,25,3,Clientes VIP
229,79,1,39,3,Clientes VIP
230,28,1,23,1,Clientes Leales
231,88,1,7,0,Clientes Ocasionales
232,26,1,32,1,Clientes Leales
233,27,1,18,1,Clientes Leales
234,83,1,23,3,Clientes VIP
235,39,1,26,1,Clientes Leales
236,89,1,19,0,Clientes Ocasionales
237,68,1,11,0,Clientes Ocasionales
238,90,1,14,0,Clientes Ocasionales
239,34,1,45,1,Clientes Leales
240,51,1,3,2,Clientes en Riesgo
241,45,1,21,1,Clientes Leales
242,88,1,7,0,Clientes Ocasionales
243,85,1,10,0,Clientes Ocasionales
244,100,1,46,3,Clientes VIP
245,42,1,11,1,Clientes Leales
246,53,1,5,2,Clientes en Riesgo
247,86,1,30,3,Clientes VIP
248,66,1,36,3,Clientes VIP
249,100,1,17,0,Clientes Ocasionales
250,47,1,32,1,Clientes Leales
251,25,1,41,1,Clientes Leales
252,51,1,16,0,Clientes Ocasionales
253,41,1,17,1,Clientes Leales
254,73,1,35,3,Clientes VIP
255,42,1,46,1,Clientes Leales
256,20,1,25,1,Clientes Leales
257,30,1,30,1,Clientes Leales
258,53,1,45,3,Clientes VIP
259,74,1,34,3,Clientes VIP
260,57,1,37,3,Clientes VIP
261,57,1,39,3,Clientes VIP
262,77,1,29,3,Clientes VIP
263,40,1,44,1,Clientes Leales
264,46,1,21,1,Clientes Leales
265,78,1,35,3,Clientes VIP
266,59,1,33,3,Clientes VIP
267,75,1,18,0,Clientes Ocasionales
268,54,1,8,0,Clientes Ocasionales
269,42,1,29,1,Clientes Leales
270,44,1,41,1,Clientes Leales
271,52,1,34,3,Clientes VIP
272,69,1,8,0,Clientes Ocasionales
273,26,1,13,1,Clientes Leales
274,33,1,18,1,Clientes Leales
275,32,1,22,1,Clientes Leales
276,85,1,37,3,Clientes VIP
277,30,1,39,1,Clientes Leales
278,29,1,14,1,Clientes Leales
279,95,1,27,3,Clientes VIP
280,69,1,13,0,Clientes Ocasionales
281,69,1,29,3,Clientes VIP
282,61,1,28,3,Clientes VIP
283,94,1,41,3,Clientes VIP
284,30,1,34,1,Clientes Leales
285,45,1,46,1,Clientes Leales
286,39,1,47,1,Clientes Leales
287,51,1,44,3,Clientes VIP
288,37,1,32,1,Clientes Leales
289,62,1,16,0,Clientes Ocasionales
290,85,1,24,3,Clientes VIP
291,33,1,0,2,Clientes en Riesgo
292,26,1,10,1,Clientes Leales
293,99,1,26,3,Clientes VIP
294,39,1,17,1,Clientes Leales
295,20,1,31,1,Clientes Leales
296,42,1,26,1,Clientes Leales
297,74,1,31,3,Clientes VIP
298,26,1,46,1,Clientes Leales
299,53,1,39,3,Clientes VIP
300,80,1,22,3,Clientes VIP
301,98,1,26,3,Clientes VIP
302,95,1,25,3,Clientes VIP
303,44,1,23,1,Clientes Leales
304,60,1,1,2,Clientes en Riesgo
305,84,1,5,0,Clientes Ocasionales
306,59,1,24,3,Clientes VIP
307,49,1,46,3,Clientes VIP
308,32,1,47,1,Clientes Leales
309,29,1,5,2,Clientes en Riesgo
310,22,1,29,1,Clientes Leales
311,85,1,0,2,Clientes en Riesgo
312,52,1,31,3,Clientes VIP
313,89,1,44,3,Clientes VIP
314,77,1,0,2,Clientes en Riesgo
315,24,1,33,1,Clientes Leales
316,24,1,26,1,Clientes Leales
317,22,1,4,1,Clientes Leales
318,82,1,8,0,Clientes Ocasionales
319,67,1,40,3,Clientes VIP
320,74,1,49,3,Clientes VIP
321,72,1,22,3,Clientes VIP
322,36,1,2,2,Clientes en Riesgo
323,95,1,3,2,Clientes en Riesgo
324,78,1,21,3,Clientes VIP
325,82,1,13,0,Clientes Ocasionales
326,70,1,12,0,Clientes Ocasionales
327,41,1,2,2,Clientes en Riesgo
328,42,1,14,1,Clientes Leales
329,50,1,41,3,Clientes VIP
330,31,1,16,1,Clientes Leales
331,51,1,7,0,Clientes Ocasionales
332,98,1,4,0,Clientes Ocasionales
333,86,1,45,3,Clientes VIP
334,64,1,35,3,Clientes VIP
335,46,1,20,1,Clientes Leales
336,85,1,6,0,Clientes Ocasionales
337,81,1,34,3,Clientes VIP
338,59,1,34,3,Clientes VIP
339,79,1,34,3,Clientes VIP
340,33,1,29,1,Clientes Leales
341,47,1,11,0,Clientes Ocasionales
342,20,1,10,1,Clientes Leales
343,36,1,2,2,Clientes en Riesgo
344,39,1,24,1,Clientes Leales
345,71,1,4,2,Clientes en Riesgo
346,59,1,23,3,Clientes VIP
347,50,1,45,3,Clientes VIP
348,41,1,7,2,Clientes en Riesgo
349,59,1,33,3,Clientes VIP
350,87,1,47,3,Clientes VIP
351,68,1,3,2,Clientes en Riesgo
352,90,1,26,3,Clientes VIP
353,71,1,38,3,Clientes VIP
354,64,1,15,0,Clientes Ocasionales
355,76,1,8,0,Clientes Ocasionales
356,42,1,49,1,Clientes Leales
357,80,1,23,3,Clientes VIP
358,56,1,34,3,Clientes VIP
359,25,1,14,1,Clientes Leales
360,74,1,20,0,Clientes Ocasionales
361,30,1,32,1,Clientes Leales
362,96,1,5,0,Clientes Ocasionales
363,64,1,49,3,Clientes VIP
364,88,1,8,0,Clientes Ocasionales
365,88,1,43,3,Clientes VIP
366,88,1,0,2,Clientes en Riesgo
367,36,1,13,1,Clientes Leales
368,40,1,32,1,Clientes Leales
369,39,1,21,1,Clientes Leales
370,40,1,5,2,Clientes en Riesgo
371,34,1,37,1,Clientes Leales
372,83,1,3,2,Clientes en Riesgo
373,85,1,43,3,Clientes VIP
374,27,1,39,1,Clientes Leales
375,78,1,11,0,Clientes Ocasionales
376,32,1,44,1,Clientes Leales
377,51,1,48,3,Clientes VIP
378,32,1,11,1,Clientes Leales
379,62,1,27,3,Clientes VIP
380,29,1,4,2,Clientes en Riesgo
381,69,1,31,3,Clientes VIP
382,25,1,47,1,Clientes Leales
383,76,1,3,2,Clientes en Riesgo
384,77,1,44,3,Clientes VIP
385,33,1,44,1,Clientes Leales
386,93,1,38,3,Clientes VIP
387,39,1,10,1,Clientes Leales
388,93,1,12,0,Clientes Ocasionales
389,82,1,40,3,Clientes VIP
390,42,1,22,1,Clientes Leales
391,71,1,31,3,Clientes VIP
392,86,1,25,3,Clientes VIP
393,82,1,12,0,Clientes Ocasionales
394,65,1,44,3,Clientes VIP
395,29,1,43,1,Clientes Leales
396,65,1,48,3,Clientes VIP
397,88,1,26,3,Clientes VIP
398,46,1,24,1,Clientes Leales
399,67,1,25,3,Clientes VIP
400,35,1,40,1,Clientes Leales
401,66,1,36,3,Clientes VIP
402,91,1,29,3,Clientes VIP
403,78,1,24,3,Clientes VIP
404,45,1,38,1,Clientes Leales
405,93,1,39,3,Clientes VIP
406,74,1,35,3,Clientes VIP
407,55,1,37,3,Clientes VIP
408,76,1,45,3,Clientes VIP
409,66,1,14,0,Clientes Ocasionales
410,51,1,18,0,Clientes Ocasionales
411,26,1,49,1,Clientes Leales
412,29,1,35,1,Clientes Leales
413,74,1,47,3,Clientes VIP
414,99,1,2,2,Clientes en Riesgo
415,88,1,20,0,Clientes Ocasionales
416,31,1,10,1,Clientes Leales
417,55,1,26,3,Clientes VIP
418,81,1,2,2,Clientes en Riesgo
419,73,1,23,3,Clientes VIP
420,91,1,36,3,Clientes VIP
421,54,1,32,3,Clientes VIP
422,40,1,2,2,Clientes en Riesgo
423,59,1,18,0,Clientes Ocasionales
424,26,1,29,1,Clientes Leales
425,23,1,8,1,Clientes Leales
426,87,1,46,3,Clientes VIP
427,71,1,31,3,Clientes VIP
428,91,1,44,3,Clientes VIP
429,64,1,48,3,Clientes VIP
430,94,1,29,3,Clientes VIP
431,40,1,10,1,Clientes Leales
432,76,1,17,0,Clientes Ocasionales
433,86,1,24,3,Clientes VIP
434,92,1,27,3,Clientes VIP
435,52,1,11,0,Clientes Ocasionales
436,28,1,8,1,Clientes Leales
437,46,1,9,0,Clientes Ocasionales
438,50,1,9,0,Clientes Ocasionales
439,23,1,38,1,Clientes Leales
440,50,1,19,0,Clientes Ocasionales
441,89,1,16,0,Clientes Ocasionales
442,81,1,18,0,Clientes Ocasionales
443,69,1,19,0,Clientes Ocasionales
444,67,1,26,3,Clientes VIP
445,20,1,19,1,Clientes Leales
446,29,1,32,1,Clientes Leales
447,74,1,35,3,Clientes VIP
448,82,1,43,3,Clientes VIP
449,23,1,15,1,Clientes Leales
450,45,1,15,1,Clientes Leales
451,21,1,31,1,Clientes Leales
452,31,1,24,1,Clientes Leales
453,45,1,11,0,Clientes Ocasionales
454,56,1,28,3,Clientes VIP
455,97,1,36,3,Clientes VIP
456,100,1,0,2,Clientes en Riesgo
457,96,1,17,0,Clientes Ocasionales
458,99,1,2,2,Clientes en Riesgo
459,91,1,2,2,Clientes en Riesgo
460,30,1,23,1,Clientes Leales
461,65,1,23,3,Clientes VIP
462,93,1,30,3,Clientes VIP
463,81,1,2,2,Clientes en Riesgo
464,81,1,21,3,Clientes VIP
465,52,1,5,2,Clientes en Riesgo
466,88,1,25,3,Clientes VIP
467,24,1,25,1,Clientes Leales
468,51,1,13,0,Clientes Ocasionales
469,38,1,34,1,Clientes Leales
470,46,1,20,1,Clientes Leales
471,63,1,44,3,Clientes VIP
472,72,1,14,0,Clientes Ocasionales
473,39,1,47,1,Clientes Leales
474,42,1,21,1,Clientes Leales
475,76,1,35,3,Clientes VIP
476,66,1,32,3,Clientes VIP
477,90,1,48,3,Clientes VIP
478,56,1,1,2,Clientes en Riesgo
479,43,1,2,2,Clientes en Riesgo
480,84,1,7,0,Clientes Ocasionales
481,88,1,20,0,Clientes Ocasionales
482,88,1,40,3,Clientes VIP
483,42,1,39,1,Clientes Leales
484,73,1,38,3,Clientes VIP
485,73,1,22,3,Clientes VIP
486,44,1,14,1,Clientes Leales
487,63,1,13,0,Clientes Ocasionales
488,68,1,28,3,Clientes VIP
489,29,1,18,1,Clientes Leales
490,85,1,10,0,Clientes Ocasionales
491,42,1,3,2,Clientes en Riesgo
492,69,1,26,3,Clientes VIP
493,62,1,39,3,Clientes VIP
494,48,1,31,1,Clientes Leales
495,68,1,8,0,Clientes Ocasionales
496,36,1,44,1,Clientes Leales
497,63,1,19,0,Clientes Ocasionales
498,39,1,19,1,Clientes Leales
499,78,1,23,3,Clientes VIP
500,99,1,26,3,Clientes VIP
501,31,1,15,1,Clientes Leales
502,45,1,29,1,Clientes Leales
503,30,1,42,1,Clientes Leales
504,24,1,24,1,Clientes Leales
505,22,1,24,1,Clientes Leales
506,63,1,41,3,Clientes VIP
507,40,1,2,2,Clientes en Riesgo
508,20,1,17,1,Clientes Leales
509,20,1,19,1,Clientes Leales
510,80,1,33,3,Clientes VIP
511,87,1,28,3,Clientes VIP
512,46,1,42,1,Clientes Leales
513,49,1,48,3,Clientes VIP
514,65,1,5,0,Clientes Ocasionales
515,62,1,3,2,Clientes en Riesgo
516,67,1,43,3,Clientes VIP
517,41,1,31,1,Clientes Leales
518,49,1,6,2,Clientes en Riesgo
519,100,1,34,3,Clientes VIP
520,54,1,33,3,Clientes VIP
521,84,1,30,3,Clientes VIP
522,41,1,0,2,Clientes en Riesgo
523,88,1,13,0,Clientes Ocasionales
524,40,1,45,1,Clientes Leales
525,39,1,6,2,Clientes en Riesgo
526,37,1,9,1,Clientes Leales
527,52,1,31,3,Clientes VIP
528,23,1,3,2,Clientes en Riesgo
529,88,1,10,0,Clientes Ocasionales
530,84,1,44,3,Clientes VIP
531,37,1,25,1,Clientes Leales
532,51,1,8,0,Clientes Ocasionales
533,76,1,15,0,Clientes Ocasionales
534,60,1,33,3,Clientes VIP
535,72,1,46,3,Clientes VIP
536,45,1,26,1,Clientes Leales
537,84,1,34,3,Clientes VIP
538,49,1,36,3,Clientes VIP
539,22,1,7,1,Clientes Leales
540,48,1,1,2,Clientes en Riesgo
541,37,1,17,1,Clientes Leales
542,27,1,5,1,Clientes Leales
543,79,1,15,0,Clientes Ocasionales
544,98,1,39,3,Clientes VIP
545,64,1,20,0,Clientes Ocasionales
546,32,1,2,2,Clientes en Riesgo
547,74,1,5,0,Clientes Ocasionales
548,50,1,24,3,Clientes VIP
549,64,1,9,0,Clientes Ocasionales
550,29,1,13,1,Clientes Leales
551,62,1,38,3,Clientes VIP
552,78,1,23,3,Clientes VIP
553,94,1,32,3,Clientes VIP
554,59,1,35,3,Clientes VIP
555,47,1,16,1,Clientes Leales
556,57,1,13,0,Clientes Ocasionales
557,90,1,29,3,Clientes VIP
558,60,1,19,0,Clientes Ocasionales
559,77,1,7,0,Clientes Ocasionales
560,41,1,28,1,Clientes Leales
561,48,1,38,3,Clientes VIP
562,65,1,25,3,Clientes VIP
563,62,1,10,0,Clientes Ocasionales
564,99,1,34,3,Clientes VIP
565,58,1,20,0,Clientes Ocasionales
566,43,1,40,1,Clientes Leales
567,93,1,49,3,Clientes VIP
568,50,1,26,3,Clientes VIP
569,88,1,14,0,Clientes Ocasionales
570,33,1,4,2,Clientes en Riesgo
571,99,1,30,3,Clientes VIP
572,76,1,13,0,Clientes Ocasionales
573,97,1,24,3,Clientes VIP
574,68,1,27,3,Clientes VIP
575,79,1,30,3,Clientes VIP
576,86,1,12,0,Clientes Ocasionales
577,68,1,45,3,Clientes VIP
578,52,1,9,0,Clientes Ocasionales
579,90,1,28,3,Clientes VIP
580,41,1,2,2,Clientes en Riesgo
581,80,1,40,3,Clientes VIP
582,100,1,38,3,Clientes VIP
583,77,1,48,3,Clientes VIP
584,78,1,12,0,Clientes Ocasionales
585,94,1,30,3,Clientes VIP
586,23,1,45,1,Clientes Leales
587,20,1,41,1,Clientes Leales
588,86,1,2,2,Clientes en Riesgo
589,60,1,41,3,Clientes VIP
590,70,1,10,0,Clientes Ocasionales
591,39,1,20,1,Clientes Leales
592,37,1,44,1,Clientes Leales
593,29,1,8,1,Clientes Leales
594,35,1,41,1,Clientes Leales
595,83,1,44,3,Clientes VIP
596,77,1,3,2,Clientes en Riesgo
597,37,1,14,1,Clientes Leales
598,69,1,31,3,Clientes VIP
599,66,1,20,0,Clientes Ocasionales
600,26,1,23,1,Clientes Leales
601,63,1,25,3,Clientes VIP
602,38,1,45,1,Clientes Leales
603,58,1,40,3,Clientes VIP
604,46,1,24,1,Clientes Leales
605,92,1,39,3,Clientes VIP
606,32,1,33,1,Clientes Leales
607,90,1,6,0,Clientes Ocasionales
608,23,1,6,1,Clientes Leales
609,25,1,29,1,Clientes Leales
610,54,1,1,2,Clientes en Riesgo
611,72,1,23,3,Clientes VIP
612,33,1,31,1,Clientes Leales
613,43,1,17,1,Clientes Leales
614,51,1,4,2,Clientes en Riesgo
615,85,1,29,3,Clientes VIP
616,100,1,27,3,Clientes VIP
617,72,1,12,0,Clientes Ocasionales
618,57,1,48,3,Clientes VIP
619,94,1,29,3,Clientes VIP
620,34,1,49,1,Clientes Leales
621,89,1,40,3,Clientes VIP
622,27,1,5,1,Clientes Leales
623,63,1,6,0,Clientes Ocasionales
624,70,1,2,2,Clientes en Riesgo
625,87,1,29,3,Clientes VIP
626,79,1,49,3,Clientes VIP
627,79,1,40,3,Clientes VIP
628,44,1,26,1,Clientes Leales
629,85,1,21,3,Clientes VIP
630,90,1,39,3,Clientes VIP
631,94,1,17,0,Clientes Ocasionales
632,68,1,23,3,Clientes VIP
633,51,1,31,3,Clientes VIP
634,33,1,0,2,Clientes en Riesgo
635,60,1,4,2,Clientes en Riesgo
636,59,1,22,3,Clientes VIP
637,30,1,36,1,Clientes Leales
638,20,1,4,1,Clientes Leales
639,20,1,9,1,Clientes Leales
640,24,1,0,2,Clientes en Riesgo
641,88,1,22,3,Clientes VIP
642,78,1,27,3,Clientes VIP
643,25,1,36,1,Clientes Leales
644,57,1,40,3,Clientes VIP
645,93,1,13,0,Clientes Ocasionales
646,42,1,35,1,Clientes Leales
647,54,1,31,3,Clientes VIP
648,70,1,27,3,Clientes VIP
649,31,1,15,1,Clientes Leales
650,93,1,17,0,Clientes Ocasionales
651,40,1,38,1,Clientes Leales
652,32,1,9,1,Clientes Leales
653,27,1,23,1,Clientes Leales
654,68,1,5,0,Clientes Ocasionales
655,59,1,27,3,Clientes VIP
656,36,1,31,1,Clientes Leales
657,23,1,44,1,Clientes Leales
658,80,1,44,3,Clientes VIP
659,37,1,30,1,Clientes Leales
660,52,1,42,3,Clientes VIP
661,79,1,11,0,Clientes Ocasionales
662,68,1,11,0,Clientes Ocasionales
663,98,1,11,0,Clientes Ocasionales
664,83,1,27,3,Clientes VIP
665,83,1,9,0,Clientes Ocasionales
666,55,1,0,2,Clientes en Riesgo
667,26,1,20,1,Clientes Leales
668,76,1,18,0,Clientes Ocasionales
669,85,1,15,0,Clientes Ocasionales
670,89,1,5,0,Clientes Ocasionales
671,41,1,13,1,Clientes Leales
672,30,1,5,2,Clientes en Riesgo
673,53,1,21,3,Clientes VIP
674,66,1,23,3,Clientes VIP
675,33,1,14,1,Clientes Leales
676,86,1,41,3,Clientes VIP
677,60,1,12,0,Clientes Ocasionales
678,62,1,9,0,Clientes Ocasionales
679,74,1,25,3,Clientes VIP
680,95,1,13,0,Clientes Ocasionales
681,25,1,47,1,Clientes Leales
682,59,1,26,3,Clientes VIP
683,29,1,1,2,Clientes en Riesgo
684,36,1,47,1,Clientes Leales
685,82,1,8,0,Clientes Ocasionales
686,71,1,18,0,Clientes Ocasionales
687,35,1,17,1,Clientes Leales
688,38,1,4,2,Clientes en Riesgo
689,59,1,6,0,Clientes Ocasionales
690,91,1,15,0,Clientes Ocasionales
691,68,1,5,0,Clientes Ocasionales
692,21,1,13,1,Clientes Leales
693,95,1,10,0,Clientes Ocasionales
694,52,1,20,0,Clientes Ocasionales
695,21,1,12,1,Clientes Leales
696,67,1,35,3,Clientes VIP
697,42,1,1,2,Clientes en Riesgo
698,63,1,10,0,Clientes Ocasionales
699,41,1,10,1,Clientes Leales
700,46,1,45,1,Clientes Leales
701,79,1,45,3,Clientes VIP
702,90,1,45,3,Clientes VIP
703,71,1,49,3,Clientes VIP
704,87,1,29,3,Clientes VIP
705,66,1,32,3,Clientes VIP
706,90,1,1,2,Clientes en Riesgo
707,47,1,23,1,Clientes Leales
708,38,1,29,1,Clientes Leales
709,50,1,31,3,Clientes VIP
710,79,1,27,3,Clientes VIP
711,91,1,24,3,Clientes VIP
712,60,1,37,3,Clientes VIP
713,81,1,14,0,Clientes Ocasionales
714,90,1,11,0,Clientes Ocasionales
715,70,1,10,0,Clientes Ocasionales
716,63,1,13,0,Clientes Ocasionales
717,29,1,41,1,Clientes Leales
718,90,1,43,3,Clientes VIP
719,22,1,25,1,Clientes Leales
720,22,1,8,1,Clientes Leales
721,62,1,31,3,Clientes VIP
722,57,1,9,0,Clientes Ocasionales
723,32,1,0,2,Clientes en Riesgo
724,53,1,7,0,Clientes Ocasionales
725,79,1,14,0,Clientes Ocasionales
726,61,1,17,0,Clientes Ocasionales
727,78,1,30,3,Clientes VIP
728,97,1,13,0,Clientes Ocasionales
729,78,1,38,3,Clientes VIP
730,56,1,4,2,Clientes en Riesgo
731,25,1,22,1,Clientes Leales
732,28,1,20,1,Clientes Leales
733,57,1,22,3,Clientes VIP
